Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Romania,5 to 6 years,Mobile developer,JavaScript; Objective-C; PHP; SQL; Swift,NA
United States,5 to 6 years,NA,C++; Java; JavaScript; Python,NA
United States,5 to 6 years,Web developer,C; C++; JavaScript; Perl; Python; SQL,NA
Poland,5 to 6 years,Mobile developer,C++; Java; PHP,11851.8518518519
Italy,5 to 6 years,NA,C; Rust,NA
India,5 to 6 years,Web developer; Mobile developer; Graphic designer; Desktop applications developer,C; C++; Java; JavaScript,NA
Brazil,5 to 6 years,NA,Java,NA
United Kingdom,5 to 6 years,Web developer,C#; JavaScript; SQL,NA
Canada,5 to 6 years,NA,Python,NA
United States,5 to 6 years,Web developer; Mobile developer,Julia; PHP; Ruby; SQL; Swift,75e3
United States,5 to 6 years,Web developer; Desktop applications developer,Java; JavaScript; PHP,9e4
Germany,5 to 6 years,NA,C; C++; Java,NA
India,5 to 6 years,NA,Assembly; C; C++; Java; Objective-C; Python; SQL,NA
United Kingdom,5 to 6 years,Web developer; Embedded applications/devices developer; Graphics programming; Systems administrator,C; C++; JavaScript; Python; Ruby,23750
Philippines,5 to 6 years,NA,NA,NA
Indonesia,5 to 6 years,Mobile developer,Java; JavaScript; PHP; Ruby,299.154887442974
Mexico,5 to 6 years,Web developer; Mobile developer; Desktop applications developer,NA,NA
Uruguay,5 to 6 years,Web developer,NA,NA
Pakistan,5 to 6 years,NA,C; JavaScript; PHP,NA
United States,5 to 6 years,Web developer,Java; JavaScript,NA
India,5 to 6 years,Web developer,Java; SQL,NA
Pakistan,5 to 6 years,NA,C++; C#; Java; JavaScript; Ruby; SQL,NA
India,5 to 6 years,Mobile developer,Objective-C; Swift,7400
United States,5 to 6 years,Mobile developer; Graphics programming,C; C++; JavaScript; Objective-C,NA
Austria,5 to 6 years,Web developer,JavaScript; PHP; SQL; TypeScript,NA
Germany,5 to 6 years,Web developer,Java; JavaScript; PHP; Python,NA
Mexico,5 to 6 years,NA,C++; JavaScript; PHP,NA
Poland,5 to 6 years,Mobile developer,C#; Go; Python; VB.NET,14814.8148148148
France,5 to 6 years,NA,Assembly; C; C++; Java; JavaScript; Python; Ruby; SQL,NA
Switzerland,5 to 6 years,Desktop applications developer,C#; Java; PHP; SQL,NA
Puerto Rico,5 to 6 years,Web developer; Mobile developer; Data scientist,C++; C#; Java; JavaScript; Objective-C; SQL; Swift,48e3
Oman,5 to 6 years,NA,JavaScript; PHP; SQL; TypeScript,NA
Germany,5 to 6 years,NA,Assembly; C; C++; Java; SQL,NA
Australia,5 to 6 years,NA,JavaScript; Objective-C; Swift,NA
Pakistan,5 to 6 years,Web developer; Graphics programming; Graphic designer,C; JavaScript; PHP; Python,NA
United States,5 to 6 years,NA,NA,NA
Hungary,5 to 6 years,Web developer,NA,15467.6382634998
United States,5 to 6 years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator,NA,NA
United States,5 to 6 years,Desktop applications developer; Systems administrator,C#; JavaScript; Python; SQL,4e4
India,5 to 6 years,NA,Assembly; C; Java,NA
Germany,5 to 6 years,NA,C; Haskell; Java; JavaScript; PHP; Python; SQL,NA
India,5 to 6 years,NA,C; JavaScript; SQL,NA
France,5 to 6 years,Web developer; Mobile developer; Database administrator,JavaScript; Perl; SQL,39247.311827957
New Zealand,5 to 6 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,Java; JavaScript; Lua; PHP; Ruby,NA
India,5 to 6 years,NA,Java; Matlab,NA
Canada,5 to 6 years,Web developer; Mobile developer,Objective-C; Swift,60606.0606060606
Spain,5 to 6 years,Graphics programming; Machine learning specialist; Data scientist,Assembly; C++; C#; JavaScript; Lua; SQL; VB.NET; Visual Basic 6,NA
United States,5 to 6 years,NA,C; C++; Java; JavaScript,NA
Netherlands,5 to 6 years,NA,Assembly; C++; Java; JavaScript; PHP; SQL,NA
United Kingdom,5 to 6 years,NA,C++; C#; Erlang; Java; JavaScript; SQL,NA
Portugal,5 to 6 years,NA,C; Julia; Matlab; Python,NA
United States,5 to 6 years,Web developer,Java; JavaScript; Python; SQL,8e4
Colombia,5 to 6 years,Web developer; Mobile developer,Java; JavaScript; PHP; Scala; SQL,NA
Pakistan,5 to 6 years,NA,C; C++; Python; Visual Basic 6,NA
Greece,5 to 6 years,Web developer; Developer with a statistics or mathematics background; Database administrator; Systems administrator; Other,Assembly; C; C#; Haskell; Java; JavaScript; PHP; Python; SQL,15483.8709677419
United States,5 to 6 years,NA,Assembly; C; Clojure; Go; JavaScript; Perl; Python; Scala,NA
India,5 to 6 years,NA,C; C++; SQL,NA
Ecuador,5 to 6 years,NA,C; C++; C#; Java; JavaScript; PHP; SQL,NA
India,5 to 6 years,Web developer; Graphics programming; Graphic designer; Desktop applications developer,C#; JavaScript,NA
United States,5 to 6 years,NA,JavaScript,NA
Iran,5 to 6 years,Web developer; Mobile developer; Graphics programming; Graphic designer; Desktop applications developer; Database administrator,C; C++; C#; Java; JavaScript; PHP; SQL,NA
United States,5 to 6 years,Web developer; Mobile developer; Graphic designer,Common Lisp; JavaScript; Perl; Python; R,NA
United Kingdom,5 to 6 years,NA,NA,NA
United States,5 to 6 years,NA,NA,NA
United States,5 to 6 years,Web developer; Mobile developer,NA,NA
Namibia,5 to 6 years,Web developer; Database administrator; Systems administrator,C++; JavaScript; PHP; SQL,NA
United Kingdom,5 to 6 years,Web developer; Mobile developer; Desktop applications developer,C; Objective-C; Python; Swift,NA
United Kingdom,5 to 6 years,NA,C++; JavaScript; Python; SQL; TypeScript,NA
Brazil,5 to 6 years,Web developer; Mobile developer,C#; JavaScript; SQL,9535.03184713376
India,5 to 6 years,NA,C++; Java; JavaScript; Matlab; Perl; PHP; Python; SQL; VB.NET; Visual Basic 6,NA
Canada,5 to 6 years,Web developer,JavaScript; PHP; SQL,NA
Poland,5 to 6 years,NA,C; C++; Go; Lua; Python; Smalltalk,NA
Nigeria,5 to 6 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphic designer; Desktop applications developer,C++; C#; Java; JavaScript; Matlab; PHP; Python; SQL,NA
United States,5 to 6 years,Web developer; Database administrator; Systems administrator,Java; JavaScript; PHP; Python; SQL,53e3
France,5 to 6 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,NA
Slovenia,5 to 6 years,Web developer; Systems administrator,C; Java; JavaScript; PHP; Python; SQL,NA
Serbia,5 to 6 years,Web developer,JavaScript; PHP; Ruby; SQL,NA
India,5 to 6 years,Web developer,Java,NA
United States,5 to 6 years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator; Quality assurance engineer; Other,C; C++; C#; Java; JavaScript; PHP; Python; SQL; VB.NET,NA
United Kingdom,5 to 6 years,NA,C++; Java; JavaScript; PHP; Python,NA
France,5 to 6 years,Web developer; Database administrator; Systems administrator,JavaScript; Python,NA
Romania,5 to 6 years,NA,C#; Java,NA
United States,5 to 6 years,NA,JavaScript; PHP; Python,NA
United Kingdom,5 to 6 years,NA,JavaScript; PHP; SQL,NA
Bangladesh,5 to 6 years,Web developer; Desktop applications developer,C++; C#; JavaScript; Python; SQL,NA
United States,5 to 6 years,Web developer; Mobile developer; Graphic designer; Desktop applications developer,Objective-C; PHP; Swift,NA
Germany,5 to 6 years,Systems administrator; Quality assurance engineer,C++; Go; Python; Scala; Swift,NA
Poland,5 to 6 years,Desktop applications developer,C#,NA
Hungary,5 to 6 years,NA,R,NA
Romania,5 to 6 years,Web developer; Mobile developer,C#; CoffeeScript; JavaScript; Python; R; Ruby; SQL; Swift,NA
United States,5 to 6 years,Web developer; Desktop applications developer; Systems administrator; Quality assurance engineer,C++; Go; SQL,NA
United States,5 to 6 years,Web developer; DevOps specialist,C++; C#; Groovy; Java; JavaScript; Python; SQL; Swift; TypeScript,91e3
India,5 to 6 years,NA,C++; Java; JavaScript; SQL,NA
India,5 to 6 years,NA,C++; Java; SQL,NA
India,5 to 6 years,NA,C; Java,NA
France,5 to 6 years,NA,C; Java; Python; SQL,NA
I prefer not to say,5 to 6 years,NA,PHP,NA
Serbia,5 to 6 years,Web developer,NA,NA
United States,5 to 6 years,NA,JavaScript; SQL,NA
Iran,5 to 6 years,NA,NA,NA
United States,5 to 6 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Systems administrator; DevOps specialist,C; CoffeeScript; Go; Groovy; Java; JavaScript; Python; Ruby; SQL; TypeScript,NA
United States,5 to 6 years,NA,C; C++; C#; Java; JavaScript; Lua,NA
Iran,5 to 6 years,NA,Java; Python,NA
Austria,5 to 6 years,Web developer,JavaScript; PHP; SQL,NA
India,5 to 6 years,Web developer,JavaScript; PHP; SQL; TypeScript,12626.6333871678
India,5 to 6 years,NA,C++; Java; JavaScript; Python; SQL,NA
Netherlands,5 to 6 years,NA,C++; C#; JavaScript,NA
Poland,5 to 6 years,NA,C; C++; Java; JavaScript; Python; Ruby,NA
Bangladesh,5 to 6 years,NA,Assembly; C; Java; Objective-C; PHP; Scala; SQL,NA
Croatia,5 to 6 years,NA,C; C++; Java; JavaScript; Python,NA
United States,5 to 6 years,Embedded applications/devices developer,C; Go; JavaScript; Rust; SQL,8e4
Austria,5 to 6 years,NA,Java; JavaScript; PHP; SQL,NA
Chile,5 to 6 years,Web developer; Systems administrator; Quality assurance engineer,JavaScript,NA
United States,5 to 6 years,Web developer,C#; JavaScript; SQL,NA
United Kingdom,5 to 6 years,Web developer,JavaScript; PHP; SQL,NA
Ghana,5 to 6 years,Mobile developer,Java; Swift,NA
United States,5 to 6 years,NA,Java; Python; R,NA
Canada,5 to 6 years,NA,C; C++; C#; Python,NA
Morocco,5 to 6 years,Web developer,JavaScript; Lua; PHP; SQL,10752.688172043
Greece,5 to 6 years,NA,C; C++,NA
United States,5 to 6 years,Web developer,C#; VB.NET,59e3
Switzerland,5 to 6 years,NA,Java; Python; Ruby; SQL,NA
United States,5 to 6 years,NA,C#; CoffeeScript; JavaScript; PHP; SQL; TypeScript,NA
United States,5 to 6 years,NA,C++; JavaScript,NA
United Kingdom,5 to 6 years,Desktop applications developer; Database administrator,C#; Java; SQL,43750
Malta,5 to 6 years,Web developer; Desktop applications developer,C#,NA
Brazil,5 to 6 years,NA,C; Java,NA
Germany,5 to 6 years,NA,Assembly; C; C#; Java; JavaScript; PHP; SQL,NA
United States,5 to 6 years,NA,Python,NA
Netherlands,5 to 6 years,Web developer; Data scientist,JavaScript; PHP; SQL,NA
South Africa,5 to 6 years,Web developer,JavaScript; PHP,NA
India,5 to 6 years,Web developer,JavaScript; PHP; Ruby; SQL,6166.49537512847
United States,5 to 6 years,NA,Java,NA
France,5 to 6 years,NA,C; Python; SQL,NA
Poland,5 to 6 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,C; C++; C#; JavaScript; Scala; SQL,16296.2962962963
Germany,5 to 6 years,NA,C++; Java,NA
France,5 to 6 years,NA,Assembly; C; C++; C#; PHP; Python,NA
France,5 to 6 years,NA,Java; JavaScript,NA
South Africa,5 to 6 years,Web developer; Graphics programming; Graphic designer,JavaScript,24498.8864142539
India,5 to 6 years,Web developer,JavaScript,NA
United Kingdom,5 to 6 years,NA,C++; JavaScript; Matlab; Python,NA
Algeria,5 to 6 years,NA,C++; Java; JavaScript; PHP; SQL,NA
Zimbabwe,5 to 6 years,Web developer; Desktop applications developer,Java; SQL,NA
Romania,5 to 6 years,Web developer,C#; JavaScript; PHP,6744.73067915691
United States,5 to 6 years,NA,C#; CoffeeScript; Java; JavaScript; Lua; Objective-C; PHP; Python; Ruby; SQL; Swift; VBA,NA
United States,5 to 6 years,Web developer,C#; JavaScript; SQL,NA
United States,5 to 6 years,Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Graphic designer,Assembly; C; C++; JavaScript; Matlab; PHP; SQL,NA
Singapore,5 to 6 years,NA,C; C++; C#; Java; Python,NA
Netherlands,5 to 6 years,NA,Python,NA
Canada,5 to 6 years,NA,C++; Groovy; Java,NA
Czech Republic,5 to 6 years,Web developer,JavaScript; PHP; SQL,NA
Spain,5 to 6 years,Web developer,Java; JavaScript; Perl; Python; SQL,12688.1720430108
Italy,5 to 6 years,Desktop applications developer; Database administrator,C++; C#; VB.NET,NA
France,5 to 6 years,Machine learning specialist; Data scientist,C; C++; Python; R; SQL,55913.9784946237
Israel,5 to 6 years,Web developer,Go; JavaScript; Python; SQL,NA
United Kingdom,5 to 6 years,NA,C++; C#; Java; JavaScript; PHP; Python; Ruby,NA
United States,5 to 6 years,NA,C++; Java; JavaScript; PHP; Python; SQL; VB.NET,NA
Turkey,5 to 6 years,NA,Assembly; C; C++; C#; Java; JavaScript; Lua; Python,NA
Kenya,5 to 6 years,Web developer; Graphic designer; Systems administrator; DevOps specialist,JavaScript; PHP,NA
United States,5 to 6 years,Web developer; Graphic designer; Desktop applications developer; Other,C#; PHP,NA
India,5 to 6 years,NA,Go; Python; Ruby,NA
Czech Republic,5 to 6 years,Desktop applications developer,C; C++,NA
Spain,5 to 6 years,NA,C; C++; C#; Go; JavaScript; Python; TypeScript,NA
United States,5 to 6 years,NA,C; Java,NA
United States,5 to 6 years,NA,Assembly,NA
United Kingdom,5 to 6 years,NA,NA,NA
India,5 to 6 years,Web developer,NA,14682.131845544
Bangladesh,5 to 6 years,Mobile developer,NA,NA
United States,5 to 6 years,Other,NA,NA
Japan,5 to 6 years,NA,Python; R; SQL; Swift,NA
India,5 to 6 years,Web developer,NA,NA
Canada,5 to 6 years,Web developer; Mobile developer; Graphic designer; Database administrator; Systems administrator,NA,31818.1818181818
Germany,5 to 6 years,NA,NA,NA
India,5 to 6 years,Mobile developer; Graphics programming,NA,NA
India,5 to 6 years,Web developer; Developer with a statistics or mathematics background; Data scientist; Quality assurance engineer,NA,14682.131845544
Germany,5 to 6 years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,NA,NA
Slovak Republic,5 to 6 years,Web developer; Mobile developer; Machine learning specialist,NA,NA
India,5 to 6 years,Web developer; Mobile developer,NA,NA
Italy,5 to 6 years,Other,C++; Objective-C,NA
Canada,5 to 6 years,Web developer,NA,NA
Turkey,5 to 6 years,Web developer,NA,NA
Bulgaria,5 to 6 years,Web developer; Database administrator; Systems administrator,NA,NA
India,5 to 6 years,Web developer; Database administrator; Systems administrator,NA,NA
India,5 to 6 years,Mobile developer,NA,NA
Canada,5 to 6 years,Web developer; DevOps specialist,Go; Java; SQL,NA
Bangladesh,5 to 6 years,Other,C; C#; Java; JavaScript; Matlab; Python; SQL; TypeScript,NA
Pakistan,5 to 6 years,Web developer,JavaScript; PHP; Python; Ruby,9600
India,5 to 6 years,NA,C; C++; Java; JavaScript; Perl; PHP,NA
India,5 to 6 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Systems administrator; DevOps specialist,Assembly; C; C++; C#; JavaScript; Objective-C; SQL; VB.NET,5138.74614594039
United States,5 to 6 years,Embedded applications/devices developer,Assembly; C; C++; C#; Matlab; Python,NA
United Kingdom,5 to 6 years,Web developer,Java; JavaScript; PHP; SQL,NA
United States,5 to 6 years,Web developer; DevOps specialist,Java; SQL,NA
Germany,5 to 6 years,NA,PHP; SQL,NA
France,5 to 6 years,NA,C; Java,NA
Macedonia,5 to 6 years,Web developer; Database administrator; Systems administrator,C#; JavaScript; SQL; TypeScript,NA
Germany,5 to 6 years,Mobile developer,Java; JavaScript; Matlab; Objective-C; Python,59139.7849462366
India,5 to 6 years,Web developer; Data scientist; Desktop applications developer,C#; JavaScript; PHP; SQL,NA
United States,5 to 6 years,NA,Java; JavaScript,NA
Croatia,5 to 6 years,Web developer; Developer with a statistics or mathematics background,Java; Python,NA
United Kingdom,5 to 6 years,Web developer,C++; C#; Haskell; Java; JavaScript; PHP; Python; SQL,37500
United States,5 to 6 years,NA,Python,NA
Italy,5 to 6 years,Web developer; Embedded applications/devices developer,C++; JavaScript,43010.752688172
Switzerland,5 to 6 years,Web developer; Embedded applications/devices developer; Database administrator; Systems administrator,C#; JavaScript; PHP; SQL; TypeScript,NA
Greece,5 to 6 years,NA,NA,NA
Philippines,5 to 6 years,NA,Java; Objective-C,NA
Australia,5 to 6 years,Web developer; Desktop applications developer,C; C++; C#; JavaScript; Perl; SQL,26515.1515151515
United States,5 to 6 years,Web developer,JavaScript,NA
United States,5 to 6 years,Web developer,JavaScript; PHP,105e3
Nigeria,5 to 6 years,Web developer; Mobile developer; Graphics programming; Machine learning specialist; Graphic designer; Desktop applications developer; Database administrator,C#; Java; JavaScript; Matlab; PHP; SQL; VB.NET,NA
Israel,5 to 6 years,DevOps specialist; Quality assurance engineer; Other,Java; SQL,82e3
Iran,5 to 6 years,Web developer,PHP,NA
India,5 to 6 years,Web developer,Java; JavaScript; SQL,NA
Russian Federation,5 to 6 years,Web developer,Python; Ruby,26065.1629072682
Iran,5 to 6 years,NA,C++; C#; Java; Python,NA
Germany,5 to 6 years,Web developer; Mobile developer; Systems administrator,C++; C#; Go; JavaScript; PHP; Python; SQL,45161.2903225806
United States,5 to 6 years,Web developer,Java; JavaScript; SQL,85e3
Pakistan,5 to 6 years,Web developer; Desktop applications developer; Database administrator; Quality assurance engineer,C; C++; C#,NA
Brazil,5 to 6 years,Web developer; Mobile developer,Java,NA
India,5 to 6 years,Web developer; Data scientist; Systems administrator; Quality assurance engineer,C; C++; Haskell; JavaScript; Python; R,NA
United Kingdom,5 to 6 years,Web developer; Database administrator; Systems administrator; Quality assurance engineer,C#; Dart; Go; Java; JavaScript; Lua; PHP; Python; Scala; SQL; TypeScript,36875
Ireland,5 to 6 years,Web developer,Java; JavaScript; PHP; Python; SQL,NA
Spain,5 to 6 years,Web developer,Java; JavaScript,29032.2580645161
India,5 to 6 years,Mobile developer,Objective-C; Swift,NA
Japan,5 to 6 years,Web developer; Mobile developer; Database administrator; Systems administrator,Python; Ruby,NA
Hungary,5 to 6 years,Developer with a statistics or mathematics background; Database administrator; Systems administrator,R; SQL,11033.5819612965
Russian Federation,5 to 6 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; DevOps specialist,C#; JavaScript; PHP; SQL,21e3
Germany,5 to 6 years,Web developer; Database administrator; Systems administrator,C#; JavaScript; PHP; Python; SQL,NA
United States,5 to 6 years,Web developer; Graphic designer,JavaScript; PHP,62500
India,5 to 6 years,NA,Assembly; Java; JavaScript; Matlab,NA
United States,5 to 6 years,Web developer; DevOps specialist,C#; Go; Java; JavaScript; Python; R; SQL; TypeScript,88e3
Sweden,5 to 6 years,Web developer,Java; PHP; SQL,NA
Indonesia,5 to 6 years,Mobile developer; Desktop applications developer; Database administrator; Systems administrator,C++; Java; Matlab; Perl; SQL; VB.NET,NA
Canada,5 to 6 years,Web developer; Mobile developer; Database administrator; Systems administrator,C#; JavaScript; Objective-C; SQL,49242.4242424242
United States,5 to 6 years,NA,NA,NA
United States,5 to 6 years,Web developer; Mobile developer; Data scientist; Quality assurance engineer,Common Lisp; Java; JavaScript; Objective-C; PHP; Python; R; Ruby; Rust; SQL; Swift,NA
Indonesia,5 to 6 years,Web developer,JavaScript; PHP; SQL,1869.71804651858
Iran,5 to 6 years,NA,C++; JavaScript; PHP,NA
Canada,5 to 6 years,Web developer,C#; JavaScript; Python; SQL; TypeScript,NA
Germany,5 to 6 years,Web developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,C; C++; C#; Java; Objective-C; PHP; SQL,NA
Poland,5 to 6 years,Web developer; Developer with a statistics or mathematics background; DevOps specialist,JavaScript,NA
Belgium,5 to 6 years,Web developer; Database administrator,JavaScript; PHP; SQL,25806.4516129032
Russian Federation,5 to 6 years,Web developer,C#; JavaScript; SQL,33416.8755221387
India,5 to 6 years,Web developer; Mobile developer; Desktop applications developer; Database administrator,C; C++; Java; JavaScript; Matlab; PHP; Python; Ruby; SQL,2202.3197768316
Italy,5 to 6 years,Web developer; DevOps specialist,C#; JavaScript; SQL,NA
United States,5 to 6 years,Web developer,JavaScript; PHP; SQL,36e3
United States,5 to 6 years,Mobile developer,Objective-C,NA
United States,5 to 6 years,Web developer,C#; SQL,85e3
Germany,5 to 6 years,Web developer,Java; SQL,48387.0967741935
Ireland,5 to 6 years,DevOps specialist,C; C++; C#; JavaScript; R; SQL,NA
Switzerland,5 to 6 years,Web developer; Mobile developer; Graphics programming; Machine learning specialist; Desktop applications developer; Systems administrator,C; C++; C#; CoffeeScript; Common Lisp; Groovy; Java; JavaScript; Matlab; Perl; PHP; Python; Scala; SQL; TypeScript; VB.NET; VBA; Visual Basic 6,NA
Pakistan,5 to 6 years,NA,PHP; Python; SQL,NA
Mexico,5 to 6 years,NA,NA,NA
India,5 to 6 years,Web developer,NA,NA
Pakistan,5 to 6 years,Web developer; Mobile developer,C#; PHP; SQL,NA
Myanmar,5 to 6 years,NA,Java,NA
United States,5 to 6 years,Web developer,JavaScript; Matlab,NA
Israel,5 to 6 years,Machine learning specialist; Data scientist; Database administrator,Python,8086.25336927224
United States,5 to 6 years,NA,C#; PHP; SQL; VB.NET; VBA,NA
India,5 to 6 years,Web developer,C#; JavaScript; PHP; SQL,0.014682131845544
India,5 to 6 years,Web developer; Data scientist; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,C#; Groovy; Java; JavaScript; PHP; Python; Scala; SQL,NA
United States,5 to 6 years,Web developer; Database administrator,Groovy; Java; JavaScript; SQL,NA
Canada,5 to 6 years,Web developer,Java; JavaScript,37878.7878787879
Namibia,5 to 6 years,Web developer,JavaScript; PHP; SQL,NA
Slovak Republic,5 to 6 years,Web developer,JavaScript; Ruby; TypeScript,25806.4516129032
India,5 to 6 years,Web developer; Desktop applications developer,C#; SQL,NA
India,5 to 6 years,Web developer,JavaScript,NA
Netherlands,5 to 6 years,Web developer; Desktop applications developer,C#; JavaScript; Objective-C; Python; SQL; Swift,30967.7419354839
Germany,5 to 6 years,Web developer; Other,JavaScript; PHP; Python,51612.9032258064
Netherlands,5 to 6 years,Web developer; Systems administrator; DevOps specialist,Go; Python,49032.2580645161
United Kingdom,5 to 6 years,Desktop applications developer; Systems administrator; Quality assurance engineer,C; C++; Go; Julia; Python; R; Rust; SQL,NA
Germany,5 to 6 years,Web developer; Data scientist,Java; JavaScript; PHP; SQL,NA
Ethiopia,5 to 6 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,C#; Java; JavaScript; PHP; SQL,NA
United Kingdom,5 to 6 years,Web developer; Graphics programming; Database administrator,JavaScript; PHP; Python; SQL,NA
United Kingdom,5 to 6 years,Web developer,C++; C#; Java; JavaScript; SQL; VB.NET; VBA; Visual Basic 6,NA
Canada,5 to 6 years,Mobile developer,C; C++; Java; Matlab; Python,NA
United States,5 to 6 years,Web developer; Database administrator,C#; JavaScript; SQL,71e3
Netherlands,5 to 6 years,Web developer; Mobile developer,C#; Java; JavaScript; Objective-C; PHP; Ruby; SQL,NA
United States,5 to 6 years,Web developer; Mobile developer,JavaScript; Ruby,8e4
United Kingdom,5 to 6 years,Web developer,JavaScript; PHP,37500
Poland,5 to 6 years,NA,C; C++; C#; Java; JavaScript; Matlab; SQL,NA
Romania,5 to 6 years,Web developer,JavaScript; PHP,NA
Philippines,5 to 6 years,Mobile developer,Java,NA
Romania,5 to 6 years,Web developer,Java; JavaScript,NA
United States,5 to 6 years,Web developer; Database administrator,JavaScript; Perl; PHP; SQL,11e4
Israel,5 to 6 years,Other,C; C++; C#; JavaScript; Python; SQL,NA
Israel,5 to 6 years,Web developer; DevOps specialist,JavaScript; PHP,NA
United States,5 to 6 years,DevOps specialist,PHP; Python,NA
Germany,5 to 6 years,Web developer; Systems administrator; DevOps specialist,Groovy; Java; JavaScript; PHP; SQL,NA
Japan,5 to 6 years,Web developer,NA,NA
Brazil,5 to 6 years,Web developer; Mobile developer; Systems administrator; DevOps specialist,Groovy; Java; JavaScript; Python; TypeScript,NA
Germany,5 to 6 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Data scientist; Desktop applications developer; Database administrator; Systems administrator,C; C++; C#; Java; JavaScript; Objective-C; PHP; SQL; Swift,NA
Israel,5 to 6 years,NA,Python; SQL,NA
Philippines,5 to 6 years,Web developer,JavaScript; Python; SQL,NA
Spain,5 to 6 years,Web developer,Java; JavaScript; PHP,NA
Canada,5 to 6 years,Web developer,C#; JavaScript,NA
Netherlands,5 to 6 years,Web developer; DevOps specialist,C#; JavaScript; PHP; SQL; TypeScript,NA
India,5 to 6 years,Web developer,JavaScript; SQL,10277.4922918808
Philippines,5 to 6 years,Graphic designer; Desktop applications developer,SQL; VB.NET,2860.54827175209
Canada,5 to 6 years,Embedded applications/devices developer,C; C++; C#; Java; Python,41666.6666666667
Pakistan,5 to 6 years,Web developer,Java; JavaScript,3816.79389312977
India,5 to 6 years,Web developer; Mobile developer; Database administrator; DevOps specialist,Java; JavaScript; Python,20554.9845837616
Netherlands,5 to 6 years,Mobile developer,Java; JavaScript; Python,NA
Vietnam,5 to 6 years,Mobile developer,NA,NA
United Kingdom,5 to 6 years,Web developer,C#; JavaScript; SQL,NA
India,5 to 6 years,Web developer; Data scientist; DevOps specialist,Java; JavaScript; Python; Scala; SQL; VB.NET; Visual Basic 6,8075.17251504918
Germany,5 to 6 years,NA,Java; JavaScript; PHP; SQL,NA
Tunisia,5 to 6 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; SQL,NA
India,5 to 6 years,Web developer,JavaScript; Perl; TypeScript,NA
France,5 to 6 years,Web developer; Developer with a statistics or mathematics background,C#; Java; JavaScript; SQL,29032.2580645161
Sweden,5 to 6 years,Embedded applications/devices developer; Quality assurance engineer; Other,C; C++; Python,NA
India,5 to 6 years,Web developer,JavaScript; PHP; SQL,NA
United States,5 to 6 years,NA,JavaScript; PHP; Python; SQL,NA
Slovenia,5 to 6 years,Web developer; Database administrator; Systems administrator,JavaScript; Python,22580.6451612903
Sri Lanka,5 to 6 years,Web developer,NA,NA
Honduras,5 to 6 years,Web developer; Desktop applications developer; Database administrator,C++; Java; JavaScript; SQL,NA
New Zealand,5 to 6 years,NA,NA,NA
Mexico,5 to 6 years,Mobile developer; Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer; Systems administrator,C; C++; C#; Java; Objective-C; Python; SQL; VB.NET,NA
France,5 to 6 years,Web developer; DevOps specialist,C; Java; JavaScript; PHP,43010.752688172
United States,6 to 7 years,NA,C++; Java; Python,NA
Egypt,6 to 7 years,Web developer; Developer with a statistics or mathematics background; Database administrator,JavaScript; Matlab,NA
Estonia,6 to 7 years,Web developer; Database administrator; Systems administrator; Quality assurance engineer,F#; JavaScript; PHP; Python; Ruby; SQL; TypeScript,1612.90322580645
Peru,6 to 7 years,NA,C++; F#; JavaScript; Python; SQL; TypeScript; VB.NET,NA
Belarus,6 to 7 years,NA,NA,NA
United Kingdom,6 to 7 years,Web developer; Data scientist; Systems administrator; DevOps specialist,C; C++; C#; Groovy; Java; Lua,41250
United States,6 to 7 years,Machine learning specialist; Data scientist,C#; F#; Python; R; SQL,111e3
United Kingdom,6 to 7 years,Graphics programming,NA,NA
Poland,6 to 7 years,Other,NA,NA
Belarus,6 to 7 years,Web developer; Data scientist; DevOps specialist,NA,NA
United Kingdom,6 to 7 years,Web developer; Desktop applications developer,C#; Java; JavaScript; SQL,NA
United States,6 to 7 years,NA,Groovy; Java; JavaScript; Ruby; SQL,NA
Canada,6 to 7 years,NA,C; C++; C#; Java; JavaScript; Python; Swift,NA
United States,6 to 7 years,NA,C++,NA
India,6 to 7 years,Web developer; Desktop applications developer,Java; JavaScript,8075.17251504918
United States,6 to 7 years,Data scientist,Python,NA
United States,6 to 7 years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator,C#; Java; JavaScript; Objective-C; Python; R; SQL; VB.NET; VBA,NA
