Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Austria,15 to 16 years,Desktop applications developer,C; C++; Java,NA
India,5 to 6 years,NA,CoffeeScript; JavaScript; Ruby; SQL,NA
Poland,13 to 14 years,Web developer,Java; JavaScript,NA
India,7 to 8 years,Web developer,JavaScript,6e3
Germany,3 to 4 years,NA,Java; JavaScript; R,NA
Russian Federation,14 to 15 years,Web developer,Clojure; Erlang; Ruby; SQL,NA
United States,20 or more years,Data scientist; Other,C#,91e3
United Kingdom,20 or more years,Desktop applications developer; Database administrator,C#; SQL; VB.NET; VBA,41715
United States,4 to 5 years,Web developer,JavaScript; Python; SQL,58e3
United States,10 to 11 years,Web developer; Embedded applications/devices developer,C++; Python,NA
United States,7 to 8 years,NA,C++; Java; PHP,NA
India,3 to 4 years,Web developer,JavaScript; Ruby,9161.65027161944
Australia,3 to 4 years,Web developer; Embedded applications/devices developer; Systems administrator,C; C++; C#; Java; JavaScript; Matlab; Python,48863.6363636364
United States,7 to 8 years,Web developer,Java; JavaScript,113500
United Kingdom,6 to 7 years,Developer with a statistics or mathematics background; Desktop applications developer,JavaScript; TypeScript,NA
Switzerland,9 to 10 years,Mobile developer,Java,125e3
United States,15 to 16 years,Web developer,C#; JavaScript; SQL,12e4
Romania,12 to 13 years,Web developer,C#; JavaScript; SQL; TypeScript,NA
Japan,12 to 13 years,NA,Python,NA
United Kingdom,2 to 3 years,Web developer,Java; JavaScript; SQL,NA
Poland,6 to 7 years,Web developer,C#; Java; JavaScript; PHP; TypeScript,NA
Poland,12 to 13 years,NA,C++; C#; Java; Objective-C,NA
Poland,12 to 13 years,Developer with a statistics or mathematics background; Desktop applications developer,C++; C#,NA
India,5 to 6 years,Web developer; Desktop applications developer; Database administrator,C#,5285.56746439583
Germany,4 to 5 years,Web developer; Mobile developer; Graphics programming; Desktop applications developer,C; C++; Java; SQL,NA
Singapore,3 to 4 years,NA,CoffeeScript; JavaScript; PHP; Python; SQL,NA
Ireland,4 to 5 years,Web developer,C#; SQL,48.3870967741935
Ireland,8 to 9 years,Web developer; Mobile developer,Java; PHP,NA
Sweden,13 to 14 years,Web developer; Mobile developer,JavaScript; Objective-C; PHP; Ruby; SQL; Swift,65158.371040724
United Kingdom,14 to 15 years,Web developer,C#; JavaScript; TypeScript,NA
United States,20 or more years,Web developer; Machine learning specialist; Data scientist; Database administrator; DevOps specialist; Other,Python; Ruby; Scala; SQL,155e3
India,NA,Mobile developer,Java,NA
Indonesia,5 to 6 years,Web developer,CoffeeScript; JavaScript; PHP; Python; Ruby,710.492857677062
Australia,18 to 19 years,Web developer; Mobile developer,C#; Java; Objective-C; Swift,91250
United States,3 to 4 years,Mobile developer; Desktop applications developer,Assembly; C; C++; C#; Java; JavaScript; Perl; Python,NA
United States,9 to 10 years,NA,C; C++; C#,NA
France,14 to 15 years,Web developer; Desktop applications developer,C#; Java; JavaScript,NA
Germany,4 to 5 years,NA,Assembly; C; C++; Haskell; JavaScript; PHP,NA
United Kingdom,8 to 9 years,Web developer; Desktop applications developer,C++; C#; JavaScript,NA
United States,17 to 18 years,Web developer,Java; JavaScript; Python; SQL,NA
United States,3 to 4 years,Web developer; Mobile developer,C; C#; Java; JavaScript; Objective-C; SQL; Swift,55e3
Bahrain,14 to 15 years,Web developer; Database administrator; Systems administrator,C#; Java; JavaScript; SQL; VB.NET,NA
United States,20 or more years,Desktop applications developer,C++; C#; JavaScript,NA
United States,3 to 4 years,Web developer,JavaScript,42e3
Costa Rica,16 to 17 years,Web developer; Mobile developer; DevOps specialist; Quality assurance engineer,Java; JavaScript; SQL,NA
Australia,20 or more years,Desktop applications developer,C++,NA
United Kingdom,3 to 4 years,Web developer; Quality assurance engineer,Java,4e4
India,10 to 11 years,Other,C; C++,7047.42328586111
Nigeria,17 to 18 years,Web developer; Desktop applications developer; DevOps specialist,C#; Java; SQL,39396.3463065925
Romania,20 or more years,Web developer; Mobile developer,C#,25806.4516129032
United States,4 to 5 years,Web developer,C; C++; C#; JavaScript; Python,62e3
United Kingdom,20 or more years,Web developer; Desktop applications developer,C++,NA
United Kingdom,9 to 10 years,Embedded applications/devices developer,C; Java; Matlab; Python,43250
Colombia,8 to 9 years,Web developer; Mobile developer; Desktop applications developer; Database administrator,C#; Java; JavaScript; PHP; Swift,NA
United States,5 to 6 years,Mobile developer; Developer with a statistics or mathematics background,Java; JavaScript; PHP; Python; SQL,NA
United Kingdom,20 or more years,Desktop applications developer,C++; JavaScript,NA
United States,2 to 3 years,NA,Java; JavaScript; Python,NA
Austria,13 to 14 years,Web developer; Desktop applications developer,C#; JavaScript; SQL; TypeScript,53763.4408602151
Romania,19 to 20 years,Web developer,Java; JavaScript; SQL,52257.6112412178
United States,4 to 5 years,Web developer,C#; JavaScript; SQL; TypeScript,NA
Australia,20 or more years,NA,JavaScript; Scala,NA
United States,19 to 20 years,NA,JavaScript; Ruby,NA
United States,20 or more years,Web developer; Desktop applications developer,C#; JavaScript; SQL; TypeScript,84e3
Poland,6 to 7 years,Mobile developer,Objective-C; Swift,41975.3086419753
Czech Republic,20 or more years,Web developer; Developer with a statistics or mathematics background,Java; JavaScript,NA
India,4 to 5 years,NA,R; SQL; VBA,NA
Hungary,20 or more years,Web developer,Java; SQL,NA
Canada,6 to 7 years,Web developer; DevOps specialist,C#; Java; JavaScript; Python; Scala; SQL,46969.696969697
United States,2 to 3 years,Web developer; Developer with a statistics or mathematics background,C#; Java; JavaScript; Ruby; SQL,NA
Ukraine,20 or more years,Web developer; Developer with a statistics or mathematics background,Java; JavaScript,NA
Portugal,7 to 8 years,Web developer; Mobile developer; Desktop applications developer,Java; JavaScript; Python,NA
Chile,3 to 4 years,NA,C; C#; Java; JavaScript; Julia; PHP; Python; SQL,NA
United States,9 to 10 years,Web developer; Desktop applications developer; Quality assurance engineer; Other,C; C++; C#; Java; JavaScript; PHP,NA
Turkey,5 to 6 years,Web developer; Desktop applications developer,C#,NA
Canada,6 to 7 years,Embedded applications/devices developer; Desktop applications developer,C; C++; C#; Java,NA
United States,3 to 4 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; DevOps specialist,C#; Java; JavaScript,NA
United States,15 to 16 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,75e3
South Africa,7 to 8 years,Web developer; DevOps specialist,C#; Java; JavaScript; TypeScript,NA
Estonia,14 to 15 years,Web developer; Desktop applications developer,Java; JavaScript; Ruby; SQL,NA
Germany,13 to 14 years,Web developer; Desktop applications developer; DevOps specialist,Groovy; Java; SQL,45161.2903225806
United Kingdom,20 or more years,Web developer; Embedded applications/devices developer; Desktop applications developer,Assembly; C; C++; Java; PHP; Python,NA
Croatia,16 to 17 years,Web developer; Embedded applications/devices developer; Desktop applications developer,C; C++; C#; JavaScript,NA
India,13 to 14 years,NA,PHP; Python; SQL; TypeScript; VB.NET; VBA; Visual Basic 6,NA
Germany,6 to 7 years,Web developer; Embedded applications/devices developer; Other,Groovy; Java; JavaScript; Ruby; SQL,53763.4408602151
Russian Federation,13 to 14 years,NA,C#; R; SQL; VB.NET; VBA,NA
United States,12 to 13 years,Web developer,JavaScript,NA
United States,5 to 6 years,Web developer,C; C++; Haskell; JavaScript; Python; Rust,NA
United Kingdom,6 to 7 years,Mobile developer,C; C++; Java; Objective-C; Swift,37658.75
United Kingdom,1 to 2 years,NA,JavaScript; PHP; Python; SQL,NA
Hong Kong,20 or more years,Web developer; Mobile developer; Developer with a statistics or mathematics background,Java; JavaScript; Objective-C; PHP; SQL,NA
Czech Republic,20 or more years,NA,C#; JavaScript; SQL,NA
United Kingdom,4 to 5 years,Web developer; Mobile developer,C#; JavaScript; SQL,NA
Bosnia-Herzegovina,5 to 6 years,Web developer; Mobile developer; Embedded applications/devices developer,JavaScript; TypeScript,NA
France,6 to 7 years,Web developer,Java; JavaScript,37634.4086021505
United Kingdom,7 to 8 years,NA,C#; JavaScript; PHP,NA
Germany,5 to 6 years,NA,Java; JavaScript; TypeScript,NA
Belgium,7 to 8 years,Embedded applications/devices developer; Systems administrator,C,NA
United States,14 to 15 years,Embedded applications/devices developer; Desktop applications developer; Quality assurance engineer,C#; Go; Java; JavaScript; SQL,126e3
Spain,8 to 9 years,NA,R,NA
United States,Less than a year,NA,Java,NA
United States,20 or more years,Web developer; Embedded applications/devices developer; Desktop applications developer,Java; JavaScript; SQL,NA
Canada,4 to 5 years,NA,R,NA
United States,18 to 19 years,Web developer; DevOps specialist,Groovy; Java; JavaScript; Python; Ruby,NA
United Kingdom,20 or more years,Web developer,C#; JavaScript; SQL,42500
United States,10 to 11 years,Web developer; Graphic designer; Desktop applications developer; DevOps specialist; Quality assurance engineer,C#; JavaScript; SQL; VB.NET; VBA,NA
Malaysia,2 to 3 years,Web developer,Java,NA
United States,6 to 7 years,NA,C; C++; C#; Java; PHP; Python; R; SQL,NA
United States,4 to 5 years,NA,C; Java; JavaScript; Matlab; Perl; Python; VB.NET; Visual Basic 6,NA
Romania,4 to 5 years,Web developer; Developer with a statistics or mathematics background,Java; SQL,15175.644028103
Sweden,20 or more years,DevOps specialist,C++,56561.0859728507
Netherlands,9 to 10 years,Web developer; Mobile developer; Data scientist,C; C++; C#; JavaScript; Matlab; Python; SQL; Swift,NA
United Kingdom,20 or more years,Web developer; Desktop applications developer,C#; Java; JavaScript; SQL; VB.NET,47500
Philippines,8 to 9 years,Web developer; Database administrator; Systems administrator,Java; JavaScript; Perl; PHP; SQL,NA
Germany,12 to 13 years,Web developer,JavaScript; PHP; SQL,37634.4086021505
Switzerland,3 to 4 years,NA,Assembly; C; C++; C#; Go; Java; JavaScript; Perl; PHP; SQL; TypeScript; VBA,NA
India,2 to 3 years,NA,Java; JavaScript; PHP; SQL,NA
United States,4 to 5 years,NA,Java; Matlab; Python,NA
Israel,11 to 12 years,Web developer; Desktop applications developer,C#; JavaScript; TypeScript,NA
South Africa,11 to 12 years,Web developer; DevOps specialist,C#; Java; JavaScript; PHP; SQL,NA
United States,4 to 5 years,NA,NA,NA
Germany,12 to 13 years,NA,C++; C#; Java; JavaScript; Python; TypeScript,NA
Australia,17 to 18 years,Web developer; Developer with a statistics or mathematics background; Data scientist,C#; JavaScript; Python; R,NA
Slovenia,3 to 4 years,NA,C; C#; CoffeeScript; Java; JavaScript; PHP; Python; Ruby; SQL; TypeScript,NA
Sweden,10 to 11 years,Other,C++; Lua; Python,127262.443438914
Malta,9 to 10 years,NA,C#; Java; Matlab; Python; R,NA
United Kingdom,2 to 3 years,NA,NA,NA
United States,3 to 4 years,Web developer; DevOps specialist,NA,118500
Argentina,5 to 6 years,NA,NA,NA
United States,20 or more years,Web developer,NA,1e5
Belgium,3 to 4 years,NA,NA,NA
Canada,10 to 11 years,NA,NA,NA
Germany,6 to 7 years,Web developer,NA,NA
Chile,8 to 9 years,Web developer,C#; Java; JavaScript; PHP; SQL; VB.NET,NA
United States,9 to 10 years,Web developer; Mobile developer; Graphics programming; Developer with a statistics or mathematics background,NA,NA
Slovenia,9 to 10 years,Embedded applications/devices developer; Desktop applications developer,C; C#,1935.48387096774
India,9 to 10 years,Web developer; Developer with a statistics or mathematics background,NA,NA
United States,7 to 8 years,Web developer,C#; JavaScript; TypeScript,69200
Germany,20 or more years,Graphics programming; Developer with a statistics or mathematics background,C; C++,NA
United States,11 to 12 years,Web developer; Database administrator,C#; Java; JavaScript; Matlab; SQL,72e3
I prefer not to say,14 to 15 years,Developer with a statistics or mathematics background; DevOps specialist,Go; Scala,NA
Kenya,6 to 7 years,Web developer,JavaScript,NA
India,15 to 16 years,Mobile developer; Embedded applications/devices developer; Data scientist; Desktop applications developer,C; C++; C#; Java; JavaScript; Python; SQL,NA
Taiwan,2 to 3 years,Mobile developer,Objective-C,NA
Sweden,13 to 14 years,Developer with a statistics or mathematics background,Python,49139.7849462366
Hong Kong,4 to 5 years,Desktop applications developer,C++,NA
United States,4 to 5 years,Web developer,C#; JavaScript; SQL; VB.NET,6e4
United States,19 to 20 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,Java; JavaScript; Python; SQL; Swift,12e4
United States,20 or more years,Web developer; DevOps specialist,C++; Java; JavaScript; Python; Scala; SQL,185e3
Uruguay,5 to 6 years,Mobile developer,Java; Objective-C,NA
Brazil,16 to 17 years,Web developer,Java,22230.8917197452
India,13 to 14 years,NA,Assembly; Java; Python; SQL,NA
United States,20 or more years,Machine learning specialist; Developer with a statistics or mathematics background; Systems administrator,Java; Scala,87e3
United Kingdom,20 or more years,Mobile developer; Embedded applications/devices developer; Graphics programming,C; C++,4e4
United Kingdom,20 or more years,Web developer; Desktop applications developer; DevOps specialist,C#; F#; JavaScript; TypeScript,75e3
United States,3 to 4 years,Developer with a statistics or mathematics background,C; C++; Python; SQL; VBA,7e4
South Africa,20 or more years,Web developer; DevOps specialist,Java; Ruby; Rust; Scala,NA
United States,3 to 4 years,Web developer,JavaScript; Python,52500
United States,20 or more years,Web developer; DevOps specialist,C#; JavaScript; SQL,NA
United States,20 or more years,Web developer; Mobile developer; Desktop applications developer,C++; C#; JavaScript; TypeScript,NA
Brazil,8 to 9 years,Web developer,Python,16777.0700636943
India,3 to 4 years,Web developer,JavaScript; PHP; Python; Swift,11745.7054764352
Finland,6 to 7 years,NA,C; C++; C#; JavaScript; PHP,NA
United States,15 to 16 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,C#; JavaScript; SQL,NA
United States,2 to 3 years,Web developer; DevOps specialist,Erlang; Groovy; Java; JavaScript; SQL,87500
United Kingdom,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Desktop applications developer; Database administrator,Assembly; C; C++; Java; JavaScript; Python; SQL,26875
Canada,5 to 6 years,Embedded applications/devices developer,Assembly; C; C++; Java; Matlab; Python,62400
Costa Rica,3 to 4 years,NA,C; Java; JavaScript; Python,NA
United States,20 or more years,NA,C#; JavaScript; PHP; Python; Ruby; SQL; VB.NET; VBA,NA
France,20 or more years,Web developer; Mobile developer; Database administrator,C; Groovy; Java; JavaScript; PHP; SQL,NA
Germany,8 to 9 years,Web developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Data scientist; Desktop applications developer; Database administrator; Systems administrator,Assembly; C; C++; C#; Dart; F#; Java; JavaScript; Lua; PHP; Python; SQL; TypeScript; VB.NET; VBA; Visual Basic 6,2688.17204301075
United States,16 to 17 years,Web developer,JavaScript; PHP; SQL,89e3
France,20 or more years,Web developer; DevOps specialist,C; Python,48387.0967741935
Australia,20 or more years,Web developer,C#; JavaScript; SQL,NA
Portugal,9 to 10 years,Web developer,Groovy; Java; JavaScript; SQL,NA
United States,19 to 20 years,Mobile developer; Graphics programming; Desktop applications developer,C++; C#; Java,97500
Taiwan,20 or more years,Web developer,JavaScript; PHP,NA
United States,16 to 17 years,Web developer; Desktop applications developer; Quality assurance engineer,Java; JavaScript,124800
Canada,7 to 8 years,Mobile developer,Java,71969.696969697
United States,13 to 14 years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,C#; JavaScript; PHP; SQL,NA
Germany,9 to 10 years,NA,C; C++; Java; JavaScript; Matlab; PHP; Python; SQL,NA
Romania,5 to 6 years,DevOps specialist,Python,NA
Greece,4 to 5 years,Web developer; Mobile developer; Desktop applications developer,C; C#; JavaScript; TypeScript,22580.6451612903
Switzerland,14 to 15 years,Web developer,JavaScript,NA
Czech Republic,5 to 6 years,NA,Python; SQL,NA
United Kingdom,6 to 7 years,NA,Assembly; C++; C#; Java; JavaScript; Matlab; PHP; Python; SQL,NA
United Kingdom,20 or more years,Web developer,JavaScript,NA
United States,7 to 8 years,Web developer; Desktop applications developer; Database administrator,NA,NA
Brazil,14 to 15 years,Web developer,JavaScript; Python,38216.5605095541
India,8 to 9 years,Mobile developer,Groovy; Java; Python,NA
Ireland,2 to 3 years,NA,C#; VBA,NA
Israel,17 to 18 years,Web developer; Desktop applications developer,Java; SQL,75e3
Switzerland,10 to 11 years,Embedded applications/devices developer; Quality assurance engineer,C; C++; C#,NA
France,9 to 10 years,Web developer; Embedded applications/devices developer; DevOps specialist,C#; Java; Python; SQL,39784.9462365591
Germany,17 to 18 years,Desktop applications developer,C++; Python,NA
Denmark,4 to 5 years,NA,C; C++; C#; Java; JavaScript; Perl; Python,NA
United States,17 to 18 years,Web developer; Other,C#; JavaScript; SQL,116e3
United States,10 to 11 years,Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist; Quality assurance engineer,C#; JavaScript; SQL,NA
Australia,10 to 11 years,Web developer,C#; Groovy; JavaScript; PHP; SQL,53030.303030303
United States,20 or more years,Web developer,C++; Java; Python,NA
France,9 to 10 years,Web developer; Database administrator,C; JavaScript; PHP; Python; SQL,NA
Denmark,6 to 7 years,Web developer; Database administrator; Systems administrator,C#; JavaScript; SQL,64516.1290322581
United States,9 to 10 years,Web developer,C#; JavaScript; SQL; TypeScript,6e4
United States,10 to 11 years,Web developer; Mobile developer; Graphics programming; DevOps specialist,C; C#; Go; Java; JavaScript; SQL; TypeScript; VB.NET,118e3
United States,20 or more years,Web developer; Desktop applications developer,C#; Groovy; PHP; SQL; VB.NET; VBA,7e4
Nigeria,19 to 20 years,Web developer; Desktop applications developer; Systems administrator,Assembly; Java; Perl; Python; Swift; VB.NET,NA
Australia,20 or more years,Web developer; Mobile developer,JavaScript; PHP; SQL; TypeScript,50757.5757575758
United States,8 to 9 years,Mobile developer; Other,C++; C#; Java; JavaScript; PHP; SQL,46e3
United States,20 or more years,NA,NA,NA
United States,6 to 7 years,Web developer,JavaScript; Ruby; SQL,NA
Mexico,4 to 5 years,NA,C#; Java; JavaScript; PHP; Python,NA
Brazil,20 or more years,Web developer; Other,Java; JavaScript; TypeScript,31422.9299363057
Poland,6 to 7 years,Web developer; Systems administrator,Java; JavaScript; Matlab; Python; SQL; TypeScript,NA
India,9 to 10 years,Mobile developer; Desktop applications developer,Java,18352.66480693
India,3 to 4 years,Desktop applications developer,Java; PHP; Python,9543.38569960358
United States,5 to 6 years,NA,C; C++; C#; Java; JavaScript; Objective-C; PHP; Python; VB.NET,NA
Italy,16 to 17 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; SQL,NA
United States,4 to 5 years,NA,NA,NA
United States,13 to 14 years,Web developer; Developer with a statistics or mathematics background; Systems administrator,Scala,1e5
Canada,10 to 11 years,Web developer; Database administrator,C#; JavaScript; SQL; VB.NET,NA
Netherlands,8 to 9 years,NA,Assembly; C; C++; Java; JavaScript; Matlab; PHP; Python; SQL,NA
United Kingdom,5 to 6 years,Web developer,C#; JavaScript; SQL,5e4
Finland,9 to 10 years,Web developer; Mobile developer,Java; JavaScript; Python; SQL,NA
Ghana,4 to 5 years,Embedded applications/devices developer,Java; SQL,NA
Netherlands,15 to 16 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,NA
United Kingdom,11 to 12 years,Web developer,JavaScript; Python; SQL,56250
Norway,19 to 20 years,Desktop applications developer; Other,C#,90909.0909090909
Ukraine,11 to 12 years,Web developer,JavaScript; PHP; Ruby; SQL,1555.55555555556
United Kingdom,14 to 15 years,Web developer,JavaScript,NA
Denmark,16 to 17 years,Desktop applications developer; DevOps specialist,C#; JavaScript; PHP; SQL,85470.0854700855
Russian Federation,20 or more years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,C#,NA
United Kingdom,20 or more years,NA,NA,NA
United Kingdom,4 to 5 years,Mobile developer,JavaScript; Python; Swift,NA
United States,14 to 15 years,Web developer; Desktop applications developer,C++; C#; Groovy; Java; JavaScript; Perl; SQL,125e3
United Kingdom,5 to 6 years,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator,JavaScript; PHP; SQL,31250
United States,20 or more years,Graphic designer; Desktop applications developer; Database administrator,C#; SQL; VBA,1e5
Mexico,6 to 7 years,Web developer; Desktop applications developer,Java; JavaScript,7464.11483253589
United States,20 or more years,Web developer,JavaScript; PHP; SQL,NA
United States,14 to 15 years,Web developer; Mobile developer,CoffeeScript; JavaScript,NA
United Kingdom,6 to 7 years,NA,Python,NA
United Kingdom,14 to 15 years,NA,Java; JavaScript; PHP; Python,NA
United States,14 to 15 years,Web developer,C#; Java; JavaScript; TypeScript,NA
India,3 to 4 years,Web developer; Mobile developer,JavaScript,NA
Italy,20 or more years,Web developer,C#; F#; JavaScript; PHP; SQL; TypeScript; VB.NET,NA
Switzerland,20 or more years,NA,Python,NA
India,3 to 4 years,NA,C; C#; Java; Python; SQL,NA
Romania,7 to 8 years,Mobile developer,C++; Java; Matlab; Swift,NA
United States,20 or more years,Embedded applications/devices developer,C; C++; Java; JavaScript,149e3
United States,19 to 20 years,Web developer; Mobile developer; Desktop applications developer,C#,156e3
Germany,5 to 6 years,NA,C; C++; C#; Java; Matlab,NA
United States,20 or more years,Web developer,Java; JavaScript; PHP; SQL,NA
United States,20 or more years,Web developer; Desktop applications developer,C#; JavaScript; SQL,NA
United States,14 to 15 years,Web developer; Mobile developer,C#; JavaScript; SQL; TypeScript,NA
France,7 to 8 years,Web developer; Embedded applications/devices developer; Desktop applications developer; Systems administrator,C; C++; Java; JavaScript; Objective-C; PHP; Python; SQL,32795.6989247312
Chile,4 to 5 years,NA,Python,NA
United States,4 to 5 years,Mobile developer; Desktop applications developer,C#; Java; SQL,NA
Switzerland,2 to 3 years,NA,Assembly; C++; C#; Java; JavaScript; PHP; SQL,NA
Japan,13 to 14 years,Web developer,C#; Go; JavaScript; SQL; TypeScript,42348.6493529054
Germany,16 to 17 years,Web developer; Desktop applications developer; Quality assurance engineer,C#,NA
Switzerland,20 or more years,NA,R; VBA,NA
New Zealand,20 or more years,Web developer; Desktop applications developer; DevOps specialist,C#; JavaScript; SQL,NA
Puerto Rico,6 to 7 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Database administrator,NA,NA
United States,12 to 13 years,NA,NA,NA
India,Less than a year,NA,PHP,NA
United States,15 to 16 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Systems administrator; Other,C; C#; JavaScript; Python,NA
India,10 to 11 years,Web developer; Mobile developer; Embedded applications/devices developer,C; C++; Java; JavaScript,16150.3450300984
United States,5 to 6 years,Web developer; Data scientist; Desktop applications developer,JavaScript; PHP; Ruby; SQL,NA
Australia,9 to 10 years,NA,C#; Java; JavaScript; Python,NA
Canada,2 to 3 years,NA,NA,NA
United States,12 to 13 years,Web developer; Mobile developer; Graphics programming; Desktop applications developer,Groovy; Java; JavaScript; Perl; SQL,NA
United Kingdom,Less than a year,NA,JavaScript; PHP; Python; SQL,NA
Switzerland,3 to 4 years,Desktop applications developer; Database administrator,C#; Java,6e3
United States,4 to 5 years,NA,NA,NA
Peru,6 to 7 years,Web developer,JavaScript; PHP; SQL; Visual Basic 6,NA
India,2 to 3 years,Quality assurance engineer,NA,NA
United States,2 to 3 years,Data scientist,Python; R; SQL,NA
Sweden,13 to 14 years,Web developer,C++; C#; JavaScript; Lua; PHP,NA
Germany,7 to 8 years,Graphics programming; Desktop applications developer,NA,NA
Hong Kong,7 to 8 years,Machine learning specialist; Data scientist; Other,Python; SQL,NA
United States,7 to 8 years,NA,C; C++; Julia; Python; R; SQL,NA
Sweden,Less than a year,Web developer; Mobile developer,JavaScript; Ruby,44117.6470588235
Canada,20 or more years,Graphics programming; Desktop applications developer; DevOps specialist,C++; Perl; Python,NA
Hungary,9 to 10 years,Web developer; Mobile developer; Desktop applications developer,JavaScript; TypeScript,NA
Nepal,4 to 5 years,Web developer,JavaScript; PHP; VB.NET,NA
Canada,6 to 7 years,Desktop applications developer,C++; C#; JavaScript,54545.4545454545
Germany,9 to 10 years,NA,NA,NA
New Caledonia (French),10 to 11 years,Web developer,NA,48387.0967741935
Austria,20 or more years,Web developer; Mobile developer; Graphic designer; Desktop applications developer,C#; Go; JavaScript; R; TypeScript; VB.NET,67741.935483871
Portugal,6 to 7 years,Web developer,C#; JavaScript; SQL; TypeScript,NA
Moldavia,4 to 5 years,Mobile developer,Swift,NA
United States,19 to 20 years,NA,Python,NA
United States,1 to 2 years,Web developer,JavaScript,9e4
Canada,20 or more years,Embedded applications/devices developer,C; C++; Python,96969.696969697
South Africa,13 to 14 years,Web developer; Mobile developer; Graphics programming,JavaScript; Objective-C; Ruby; SQL,NA
Poland,2 to 3 years,NA,Python; R; SQL; VBA,NA
India,20 or more years,Web developer; Desktop applications developer,C#; JavaScript; SQL; TypeScript; VB.NET,22023.197768316
United States,3 to 4 years,Web developer,JavaScript; TypeScript,NA
Iceland,6 to 7 years,Other,C#,NA
United States,1 to 2 years,Web developer,C#; SQL,NA
Nigeria,4 to 5 years,NA,JavaScript; PHP,NA
Germany,7 to 8 years,Web developer,JavaScript,64516.1290322581
Czech Republic,10 to 11 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,NA
Germany,8 to 9 years,Web developer,Java; JavaScript; SQL,61290.3225806452
United States,15 to 16 years,Web developer,JavaScript,7e4
Colombia,5 to 6 years,Web developer,Java; JavaScript; SQL,NA
Germany,11 to 12 years,Mobile developer,JavaScript; Objective-C; Swift,NA
Canada,4 to 5 years,NA,Assembly; C; C++; JavaScript; PHP; Scala; SQL; VBA; Visual Basic 6,NA
United States,6 to 7 years,Web developer; Mobile developer,C++; SQL,NA
Canada,8 to 9 years,Web developer; Mobile developer,JavaScript; Objective-C,47727.2727272727
Brazil,15 to 16 years,Mobile developer,Java; Python; Swift,28662.4203821656
United States,20 or more years,Web developer; Mobile developer; Data scientist; Graphic designer; Desktop applications developer; Quality assurance engineer,C++; C#; JavaScript; SQL,NA
France,9 to 10 years,Web developer; Embedded applications/devices developer; Desktop applications developer,C#; Java; JavaScript; SQL; TypeScript,43010.752688172
Brazil,12 to 13 years,Web developer,JavaScript; Rust,38216.5605095541
Brazil,20 or more years,Web developer; Data scientist; Desktop applications developer; Database administrator,C#; SQL,19108.2802547771
United States,20 or more years,Embedded applications/devices developer,C; Perl; Python,12e4
India,4 to 5 years,Developer with a statistics or mathematics background; Data scientist; Database administrator,C; C++; Java; JavaScript; PHP; Python; SQL; VB.NET; Visual Basic 6,2172.95551314051
Romania,20 or more years,Web developer; Desktop applications developer,C#; Go; Java; JavaScript; PHP; SQL,NA
United States,20 or more years,DevOps specialist,Java; Rust; SQL,12e4
India,2 to 3 years,Desktop applications developer,C; Python,NA
Germany,11 to 12 years,Web developer; Desktop applications developer; DevOps specialist,Java; JavaScript,NA
Poland,Less than a year,Web developer,JavaScript; Python,NA
United States,3 to 4 years,Web developer,C#; Erlang; Java; JavaScript; Python; SQL,106e3
United States,5 to 6 years,Database administrator; DevOps specialist; Quality assurance engineer,Java; Python; Ruby; Scala,45e3
Argentina,11 to 12 years,Web developer; Mobile developer; Quality assurance engineer,Java; JavaScript; Matlab; Scala,NA
Canada,8 to 9 years,NA,Assembly; C; C++; C#; Java; JavaScript; Matlab; PHP; Python,NA
Ukraine,15 to 16 years,Web developer,CoffeeScript; JavaScript; Ruby; SQL,NA
Germany,3 to 4 years,NA,Python; R,NA
India,10 to 11 years,Web developer,Java; JavaScript; SQL,NA
United States,20 or more years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator,C#; Clojure; JavaScript; SQL,NA
United Kingdom,3 to 4 years,NA,C; C++; Python; R; SQL,NA
Romania,1 to 2 years,Web developer,JavaScript,NA
India,3 to 4 years,Web developer,C#; TypeScript,NA
United States,9 to 10 years,Web developer,C; JavaScript; Perl; Ruby; SQL,NA
United States,2 to 3 years,NA,C++; Java; Python; R,NA
United States,19 to 20 years,NA,C#; SQL; VB.NET; VBA,NA
United States,17 to 18 years,Developer with a statistics or mathematics background,C#; SQL; VB.NET,87500
India,13 to 14 years,Web developer; Desktop applications developer,C#; JavaScript; SQL,NA
